ville,pays,region,geonameid
Qincheng,China,Jiangxi,1797959
Poyang,China,Jiangxi,1798548
Pingxiang,China,Jiangxi,1798654
Nanchang,China,Jiangxi,1800163
Jiujiang,China,Jiangxi,1805179
Jinjiang,China,Jiangxi,1805501
Jingdezhen,China,Jiangxi,1805680
Jianguang,China,Jiangxi,1806248
Jianchang,China,Jiangxi,1806439
Ji’an,China,Jiangxi,1806445
Ganzhou,China,Jiangxi,1810638
Fuzhou,China,Jiangxi,1810820
Fenyi,China,Jiangxi,1811114
Fenggang,China,Jiangxi,1811378
Dunhou,China,Jiangxi,1811844
Changleng,China,Jiangxi,1815667
Bashan,China,Jiangxi,1816865
Aoxi,China,Jiangxi,1817884
Dengbu,China,Jiangxi,7328899
Gongqingcheng,China,Jiangxi,10378130
Kiyawa,Nigeria,Jigawa,2334306
Hadejia,Nigeria,Jigawa,2339631
Gwaram,Nigeria,Jigawa,2339786
Gumel,Nigeria,Jigawa,2340091
Dutse,Nigeria,Jigawa,2344245
Birnin Kudu,Nigeria,Jigawa,2347057
Chakwama,Nigeria,Jigawa,12129605
Tábor,Czechia,Jihočeský kraj,3064379
Strakonice,Czechia,Jihočeský kraj,3065067
Písek,Czechia,Jihočeský kraj,3068293
Jindřichův Hradec,Czechia,Jihočeský kraj,3074149
České Budějovice,Czechia,Jihočeský kraj,3077916
Jijel,Algeria,Jijel,2492913
District of Taher,Algeria,Jijel,12326384
Zhenlai,China,Jilin,2033128
Shuangliao,China,Jilin,2033135
Yushu,China,Jilin,2033242
Yantongshan,China,Jilin,2033449
Yanji,China,Jilin,2033467
Xinglongshan,China,Jilin,2033739
Wangqing,China,Jilin,2034221
Hepingjie,China,Jilin,2034226
Tumen,China,Jilin,2034340
Tonghua,China,Jilin,2034414
Taonan,China,Jilin,2034497
Songjianghe,China,Jilin,2034691
Siping,China,Jilin,2034714
Shulan,China,Jilin,2034761
Shuangyang,China,Jilin,2034791
Sanchazi,China,Jilin,2035182
Songyuan,China,Jilin,2035399
Panshi,China,Jilin,2035511
Antu,China,Jilin,2035754
Meihekou,China,Jilin,2035801
Longjing,China,Jilin,2035966
Liuhe,China,Jilin,2036033
Lishu,China,Jilin,2036055
Linjiang,China,Jilin,2036069
Liaoyuan,China,Jilin,2036109
Kaitong,China,Jilin,2036338
Jiutai,China,Jilin,2036401
Jishu,China,Jilin,2036418
Jilin,China,Jilin,2036502
Jiaohe,China,Jilin,2036536
Hunchun,China,Jilin,2036653
Huinan,China,Jilin,2036685
Huangnihe,China,Jilin,2036734
Huadian,China,Jilin,2036776
Helong,China,Jilin,2036933
Gongzhuling,China,Jilin,2037222
Fuyu,China,Jilin,2037335
Erdaojiang,China,Jilin,2037494
Dunhua,China,Jilin,2037534
Dongfeng,China,Jilin,2037658
Dehui,China,Jilin,2037712
Dashitou,China,Jilin,2037820
Dalai,China,Jilin,2037930
Chaoyang,China,Jilin,2038118
Changling,China,Jilin,2038158
Changchun,China,Jilin,2038180
Baishishan,China,Jilin,2038529
Baicheng,China,Jilin,2038569
Baishan,China,Jilin,2038584
Jinotega,Nicaragua,Jinotega Department,3618929
Zomin Shaharchasi,Uzbekistan,Jizzax,1215694
Dashtobod,Uzbekistan,Jizzax,1512480
Paxtakor Shahri,Uzbekistan,Jizzax,1513038
Jizzax,Uzbekistan,Jizzax,1513886
Gagarin Shahri,Uzbekistan,Jizzax,1514011
Do’stlik Shahri,Uzbekistan,Jizzax,1514125
Batu Pahat,Malaysia,Johor,1732687
Parit Raja,Malaysia,Johor,1732698
Pekan Nenas,Malaysia,Johor,1732706
Pontian Kechil,Malaysia,Johor,1732711
Kampung Pasir Gudang Baru,Malaysia,Johor,1732721
Kota Tinggi,Malaysia,Johor,1732738
Taman Senai,Malaysia,Johor,1732741
Kulai,Malaysia,Johor,1732742
Skudai,Malaysia,Johor,1732745
Johor Bahru,Malaysia,Johor,1732752
Kluang,Malaysia,Johor,1732811
Yong Peng,Malaysia,Johor,1732814
Mersing,Malaysia,Johor,1732826
Segamat,Malaysia,Johor,1732846
Tangkak,Malaysia,Johor,1732857
Muar,Malaysia,Johor,1732869
Bakri,Malaysia,Johor,1732871
Labis,Malaysia,Johor,1732877
Ulu Tiram,Malaysia,Johor,1738294
Kampung Simpang Renggam,Malaysia,Johor,1764318
Bor,South Sudan,Jonglei,377241
Shibirghān,Afghanistan,Jowzjan,1125444
Qarqīn,Afghanistan,Jowzjan,1129516
Ariel,Israel,Judea and Samaria Area,8199394
San Salvador de Jujuy,Argentina,Jujuy,3836564
San Pedro de Jujuy,Argentina,Jujuy,3836772
Palpalá,Argentina,Jujuy,3842190
Libertador General San Martín,Argentina,Jujuy,3846915
Tarma,Peru,Junin,3927758
Satipo,Peru,Junin,3928924
La Oroya,Peru,Junin,3936952
Junín,Peru,Junin,3937486
Jauja,Peru,Junin,3937733
Huancayo,Peru,Junin,3939459
Chilca,Peru,Junin,12157030
Santa Rosa,Peru,Junin,12157093
Jutiapa,Guatemala,Jutiapa,3595069
Jalpatagua,Guatemala,Jutiapa,3595232
Asunción Mita,Guatemala,Jutiapa,3599639
Törökszentmiklós,Hungary,Jász-Nagykun-Szolnok,714581
Szolnok,Hungary,Jász-Nagykun-Szolnok,715126
Mezőtúr,Hungary,Jász-Nagykun-Szolnok,717635
Karcag,Hungary,Jász-Nagykun-Szolnok,719404
Jászberény,Hungary,Jász-Nagykun-Szolnok,3050907
Östersund,Sweden,Jämtland,2685750
Värnamo,Sweden,Jönköping,2664855
Nässjö,Sweden,Jönköping,2690170
Jönköping,Sweden,Jönköping,2702979
Huskvarna,Sweden,Jönköping,2704136
Jēkabpils,Latvia,Jēkabpils Municipality,459283
Jūrmala,Latvia,Jūrmala,459201
Male,Maldives,Kaafu Atoll,1282027
Tyrnyauz,Russia,Kabardino-Balkariya Republic,479933
Terek,Russia,Kabardino-Balkariya Republic,483495
Prokhladnyy,Russia,Kabardino-Balkariya Republic,504935
Nartkala,Russia,Kabardino-Balkariya Republic,523405
Nalchik,Russia,Kabardino-Balkariya Republic,523523
Dugulubgey,Russia,Kabardino-Balkariya Republic,537345
Chegem,Russia,Kabardino-Balkariya Republic,569639
Baksan,Russia,Kabardino-Balkariya Republic,579574
Paghmān,Afghanistan,Kabul,1131316
Kabul,Afghanistan,Kabul,1138958
Myitkyina,Myanmar,Kachin,1307741
Bhamo,Myanmar,Kachin,1328218
Zaria,Nigeria,Kaduna,2317765
Soba,Nigeria,Kaduna,2322957
Lere,Nigeria,Kaduna,2332079
Kagoro,Nigeria,Kaduna,2335614
Kafanchan,Nigeria,Kaduna,2335713
Kaduna,Nigeria,Kaduna,2335727
Kachia,Nigeria,Kaduna,2335798
Dutsen Wai,Nigeria,Kaduna,2344229
Sofo-Birnin-Gwari,Nigeria,Kaduna,2347061
Anchau,Nigeria,Kaduna,2349951
Kaffrine,Senegal,Kaffrine,2251007
Sīdī Sālim,Egypt,Kafr el-Sheikh,348112
Kafr ash Shaykh,Egypt,Kafr el-Sheikh,354502
Fuwwah,Egypt,Kafr el-Sheikh,356806
Disūq,Egypt,Kafr el-Sheikh,358108
Al Ḩāmūl,Egypt,Kafr el-Sheikh,361213
Utazu,Japan,Kagawa,1849073
Takamatsu,Japan,Kagawa,1851100
Tadotsu,Japan,Kagawa,1851282
Shido,Japan,Kagawa,1852561
Sakaidechō,Japan,Kagawa,1853190
Marugame,Japan,Kagawa,1857665
Kan’onjichō,Japan,Kagawa,1860122
Mitoyo,Japan,Kagawa,11611615
Higashikagawa,Japan,Kagawa,11612539
Rulenge,Tanzania,Kagera,150436
Nsunga,Tanzania,Kagera,151363
Nshamba,Tanzania,Kagera,151373
Ngara,Tanzania,Kagera,151711
Katerero,Tanzania,Kagera,158179
Kamachumu,Tanzania,Kagera,158492
Kabanga,Tanzania,Kagera,158684
Bukoba,Tanzania,Kagera,160961
Bugarama,Tanzania,Kagera,161023
Biharamulo,Tanzania,Kagera,161154
Tarumizu,Japan,Kagoshima,1850589
Sueyoshichō-ninokata,Japan,Kagoshima,1851542
Shibushi,Japan,Kagoshima,1852588
Satsumasendai,Japan,Kagoshima,1852736
Ōkuchi-shinohara,Japan,Kagoshima,1854246
Nishinoomote,Japan,Kagoshima,1855203
Naze,Japan,Kagoshima,1855540
Makurazaki,Japan,Kagoshima,1857712
Kushikino,Japan,Kagoshima,1858041
Kokubu-matsuki,Japan,Kagoshima,1858972
Kaseda-shirakame,Japan,Kagoshima,1859964
Kanoya,Japan,Kagoshima,1860112
Kajiki,Japan,Kagoshima,1860750
Kagoshima,Japan,Kagoshima,1860827
Izumi,Japan,Kagoshima,1861108
Ijūin,Japan,Kagoshima,1861825
Ibusuki,Japan,Kagoshima,1862010
Hamanoichi,Japan,Kagoshima,1863279
Akune,Japan,Kagoshima,1865401
Kirishima,Japan,Kagoshima,7303138
Pazarcık,Turkey,Kahramanmaraş,302800
Kahramanmaraş,Turkey,Kahramanmaraş,310859
Göksun,Turkey,Kahramanmaraş,314188
Elbistan,Turkey,Kahramanmaraş,315795
Çağlayancerit,Turkey,Kahramanmaraş,320004
Afşin,Turkey,Kahramanmaraş,325304
Kajaani,Finland,Kainuu,654899
Kairouan,Tunisia,Kairouan,2473449
Kajiado,Kenya,Kajiado,195298
Mumias,Kenya,Kakamega,185702
Kakamega,Kenya,Kakamega,195272
Telavi,Georgia,Kakheti,611694
Nong Kung Si,Thailand,Kalasin,1595679
Kuchinarai,Thailand,Kalasin,1609345
Khao Wong,Thailand,Kalasin,1609990
Kamalasai,Thailand,Kalasin,1610459
Kalasin,Thailand,Kalasin,1610469
Zelenogradsk,Russia,Kaliningrad Oblast,463828
Svetlyy,Russia,Kaliningrad Oblast,485660
Sovetsk,Russia,Kaliningrad Oblast,490068
Kaliningrad,Russia,Kaliningrad Oblast,554234
Gusev,Russia,Kaliningrad Oblast,557882
Chernyakhovsk,Russia,Kaliningrad Oblast,568595
Baltiysk,Russia,Kaliningrad Oblast,2609906
Västervik,Sweden,Kalmar,2664203
Oskarshamn,Sweden,Kalmar,2686162
Kalmar,Sweden,Kalmar,2702261
Elista,Russia,Kalmykiya Republic,563514
Sukhinichi,Russia,Kaluga Oblast,486665
Obninsk,Russia,Kaluga Oblast,516436
Maloyaroslavets,Russia,Kaluga Oblast,530849
Lyudinovo,Russia,Kaluga Oblast,532459
Kozel’sk,Russia,Kaluga Oblast,543348
Kirov,Russia,Kaluga Oblast,548410
Kaluga,Russia,Kaluga Oblast,553915
Balabanovo,Russia,Kaluga Oblast,579529
Vilyuchinsk,Russia,Kamchatka,2118647
Yelizovo,Russia,Kamchatka,2119538
Petropavlovsk-Kamchatsky,Russia,Kamchatka,2122104
Khanu Woralaksaburi,Thailand,Kamphaeng Phet,1152953
Kamphaeng Phet,Thailand,Kamphaeng Phet,1153090
Kampong Cham,Cambodia,Kampong Cham,1831173
Kampong Chhnang,Cambodia,Kampong Chhnang,1831167
Kampong Speu,Cambodia,Kampong Speu,1831133
Kampong Thom,Cambodia,Kampong Thom,1831125
Kampot,Cambodia,Kampot,1831112
Atsugi,Japan,Kanagawa,1847963
Zushi,Japan,Kanagawa,1847968
Zama,Japan,Kanagawa,1848004
Yugawara,Japan,Kanagawa,1848113
Yokosuka,Japan,Kanagawa,1848313
Yokohama,Japan,Kanagawa,1848354
Ōiso,Japan,Kanagawa,1854492
Odawara,Japan,Kanagawa,1854747
Ninomiya,Japan,Kanagawa,1855380
Minamirinkan,Japan,Kanagawa,1857144
Kawasaki,Japan,Kanagawa,1859642
Kamakura,Japan,Kanagawa,1860672
Isehara,Japan,Kanagawa,1861449
Hiratsuka,Japan,Kanagawa,1862462
Hayama,Japan,Kanagawa,1862992
Hadano,Japan,Kanagawa,1863431
Fujisawa,Japan,Kanagawa,1864092
Chigasaki,Japan,Kanagawa,1864624
Miura,Japan,Kanagawa,1907309
Yamato,Japan,Kanagawa,11611478
Tha Muang,Thailand,Kanchanaburi,1150246
Tha Maka,Thailand,Kanchanaburi,1150275
Kanchanaburi,Thailand,Kanchanaburi,1153081
Bo Phloi,Thailand,Kanchanaburi,1153850
Kandahār,Afghanistan,Kandahar,1138336
Ta Khmau,Cambodia,Kandal,1821935
Mao,Chad,Kanem,2428394
Wŏnsan,North Korea,Kangwŏn-do,1866923
T’ongch’ŏn-ŭp,North Korea,Kangwŏn-do,1867927
Kosan,North Korea,Kangwŏn-do,1875632
Hoeyang,North Korea,Kangwŏn-do,1877148
Anbyŏn-ŭp,North Korea,Kangwŏn-do,1879672
Tomba kanssa,Guinea,Kankan,2414635
Siguiri,Guinea,Kankan,2415703
Kintinian,Guinea,Kankan,2419498
Kankan,Guinea,Kankan,2419992
Wudil,Nigeria,Kano,2318933
Rano,Nigeria,Kano,2324575
Kano,Nigeria,Kano,2335204
Gwarzo,Nigeria,Kano,2339756
Gaya,Nigeria,Kano,2341580
Derby,United States,Kansas,4270356
Emporia,United States,Kansas,4271086
Gardner,United States,Kansas,4271935
Great Bend,United States,Kansas,4272340
Hays,United States,Kansas,4272782
Hutchinson,United States,Kansas,4273299
Junction City,United States,Kansas,4273680
Kansas City,United States,Kansas,4273837
Lawrence,United States,Kansas,4274277
Leavenworth,United States,Kansas,4274305
Leawood,United States,Kansas,4274317
Lenexa,United States,Kansas,4274356
Manhattan,United States,Kansas,4274994
Newton,United States,Kansas,4276248
Olathe,United States,Kansas,4276614
Overland Park,United States,Kansas,4276873
Pittsburg,United States,Kansas,4277241
Prairie Village,United States,Kansas,4277718
Salina,United States,Kansas,4278890
Shawnee,United States,Kansas,4279247
Topeka,United States,Kansas,4280539
Wichita,United States,Kansas,4281730
Dodge City,United States,Kansas,5445298
Garden City,United States,Kansas,5445439
Liberal,United States,Kansas,5445820
Riihimäki,Finland,Kanta-Häme,639406
Janakkala,Finland,Kanta-Häme,656073
Hämeenlinna,Finland,Kanta-Häme,659180
Forssa,Finland,Kanta-Häme,659935
Nioro du Rip,Senegal,Kaolack,2247157
Kaolack,Senegal,Kaolack,2250805
Niamtougou,Togo,Kara,2364812
Kara,Togo,Kara,2366152
Bassar,Togo,Kara,2367568
Bafilo,Togo,Kara,2367656
Safranbolu,Turkey,Karabük Province,740430
Karabük,Turkey,Karabük Province,744562
Zelenchukskaya,Russia,Karachayevo-Cherkesiya Republic,463885
Ust’-Dzheguta,Russia,Karachayevo-Cherkesiya Republic,478130
Uchkeken,Russia,Karachayevo-Cherkesiya Republic,479687
Karachayevsk,Russia,Karachayevo-Cherkesiya Republic,552924
Cherkessk,Russia,Karachayevo-Cherkesiya Republic,569154
Karagandy,Kazakhstan,Karaganda,609655
Temirtau,Kazakhstan,Karaganda,1518262
Shakhtinsk,Kazakhstan,Karaganda,1519327
Soran,Kazakhstan,Karaganda,1519725
Balqash,Kazakhstan,Karaganda,1525798
Abay,Kazakhstan,Karaganda,1526970
‘Izrā,Jordan,Karak,248923
Safi,Jordan,Karak,250267
Karak City,Jordan,Karak,6946409
Nukus,Uzbekistan,Karakalpakstan,601294
Qŭnghirot,Uzbekistan,Karakalpakstan,601323
Xo‘jayli Shahri,Uzbekistan,Karakalpakstan,601339
Oltinko‘l,Uzbekistan,Karakalpakstan,601417
Novyy Turtkul’,Uzbekistan,Karakalpakstan,1513092
Manghit,Uzbekistan,Karakalpakstan,1513245
Beruniy,Uzbekistan,Karakalpakstan,1514387
Karaman,Turkey,Karaman,309527
Ermenek,Turkey,Karaman,315401
Lüderitz,Namibia,Karas,3355672
Keetmanshoop,Namibia,Karas,3356264
Karbala,Iraq,Karbalāʼ,94824
Al Hindīyah,Iraq,Karbalāʼ,99344
Kardzhali,Bulgaria,Kardzhali,729794
Sortavala,Russia,Karelia,490466
Segezha,Russia,Karelia,497927
Petrozavodsk,Russia,Karelia,509820
Medvezh’yegorsk,Russia,Karelia,527888
Kostomuksha,Russia,Karelia,543899
Kondopoga,Russia,Karelia,545626
Karlovac,Croatia,Karlovac,3345300
Sokolov,Czechia,Karlovarský kraj,3065617
Ostrov,Czechia,Karlovarský kraj,3068766
Karlovy Vary,Czechia,Karlovarský kraj,3073803
Cheb,Czechia,Karlovarský kraj,3077835
Dailekh,Nepal,Karnali Pradesh,1283496
Birendranagar,Nepal,Karnali Pradesh,6254843
Yellāpur,India,Karnataka,1252744
Yelahanka,India,Karnataka,1252758
Yādgīr,India,Karnataka,1252822
Wādi,India,Karnataka,1253041
Virajpet,India,Karnataka,1253132
Ullal,India,Karnataka,1253888
Udupi,India,Karnataka,1253952
Tumkūr,India,Karnataka,1254089
Tīrthahalli,India,Karnataka,1254396
Tiptūr,India,Karnataka,1254420
Terdāl,India,Karnataka,1254727
Tekkalakote,India,Karnataka,1254795
Tarikere,India,Karnataka,1254880
Tālīkota,India,Karnataka,1255122
Sulya,India,Karnataka,1255482
Srīnivāspur,India,Karnataka,1255631
Someshwar,India,Karnataka,1255823
Siruguppa,India,Karnataka,1256029
Sirsi,India,Karnataka,1256047
Sīra,India,Karnataka,1256104
Sindhnūr,India,Karnataka,1256207
Sindgi,India,Karnataka,1256214
Sidlaghatta,India,Karnataka,1256363
Shrīrangapattana,India,Karnataka,1256421
Shorāpur,India,Karnataka,1256431
Shirhatti,India,Karnataka,1256483
Shimoga,India,Karnataka,1256515
Shikārpur,India,Karnataka,1256537
Shiggaon,India,Karnataka,1256539
Shāhpur,India,Karnataka,1256722
Shāhābād,India,Karnataka,1256759
Seram,India,Karnataka,1256814
Savanūr,India,Karnataka,1256967
Saundatti,India,Karnataka,1256983
Sankeshwar,India,Karnataka,1257369
Sandūr,India,Karnataka,1257456
Sakleshpur,India,Karnataka,1257698
Sāgar,India,Karnataka,1257851
Sadalgi,India,Karnataka,1257895
Ron,India,Karnataka,1258061
Robertsonpet,India,Karnataka,1258109
Raybag,India,Karnataka,1258278
Rānībennur,India,Karnataka,1258474
Closepet,India,Karnataka,1258744
Rāichūr,India,Karnataka,1259012
Rabkavi,India,Karnataka,1259083
Puttūr,India,Karnataka,1259124
Piriyāpatna,India,Karnataka,1259535
Pāvugada,India,Karnataka,1260014
French Rocks,India,Karnataka,1260553
Nelamangala,India,Karnataka,1261539
Navalgund,India,Karnataka,1261667
Nargund,India,Karnataka,1261800
Naregal,India,Karnataka,1261810
Nanjangūd,India,Karnataka,1261910
Nāgamangala,India,Karnataka,1262266
Mysore,India,Karnataka,1262321
Mundgod,India,Karnataka,1262510
Mundargi,India,Karnataka,1262516
Mūlki,India,Karnataka,1262546
Mulgund,India,Karnataka,1262553
Mulbāgal,India,Karnataka,1262562
Mudhol,India,Karnataka,1262663
Mudgal,India,Karnataka,1262664
Muddebihāl,India,Karnataka,1262669
Mūdbidri,India,Karnataka,1262672
Mānvi,India,Karnataka,1263594
Manipal,India,Karnataka,1263707
Mangalore,India,Karnataka,1263780
Mandya,India,Karnataka,1263814
Mālūr,India,Karnataka,1264010
Malpe,India,Karnataka,1264037
Malavalli,India,Karnataka,1264136
Mahālingpur,India,Karnataka,1264457
Māgadi,India,Karnataka,1264514
Madikeri,India,Karnataka,1264540
Madhugiri,India,Karnataka,1264553
Maddūr,India,Karnataka,1264592
Lingsugūr,India,Karnataka,1264890
Lakshmeshwar,India,Karnataka,1265201
Kushtagi,India,Karnataka,1265446
Kunigal,India,Karnataka,1265591
Kundgol,India,Karnataka,1265607
Kumta,India,Karnataka,1265645
Kūdligi,India,Karnataka,1265795
Kudachi,India,Karnataka,1265811
Krishnarājpet,India,Karnataka,1265852
Kottūru,India,Karnataka,1265905
Koppal,India,Karnataka,1266154
Konnūr,India,Karnataka,1266178
Kollegāl,India,Karnataka,1266267
Kolār,India,Karnataka,1266305
Khānāpur,India,Karnataka,1267065
Kerūr,India,Karnataka,1267239
Karwar,India,Karnataka,1267635
Kārkala,India,Karnataka,1267739
Kānkānhalli,India,Karnataka,1268189
Kampli,India,Karnataka,1268214
Kalghatgi,India,Karnataka,1268434
Kadūr,India,Karnataka,1268662
Jevargi,India,Karnataka,1269057
Jamkhandi,India,Karnataka,1269328
Jagalūr,India,Karnataka,1269602
Indi,India,Karnataka,1269751
Ilkal,India,Karnataka,1269784
Hadagalli,India,Karnataka,1269849
Hunsūr,India,Karnataka,1269873
Hungund,India,Karnataka,1269876
Hukeri,India,Karnataka,1269908
Hubli,India,Karnataka,1269920
Hospet,India,Karnataka,1269935
Hoskote,India,Karnataka,1269936
Hosdurga,India,Karnataka,1269943
Honnāli,India,Karnataka,1269970
Honavar,India,Karnataka,1269976
Homnābād,India,Karnataka,1269979
Hole Narsipur,India,Karnataka,1269985
Holalkere,India,Karnataka,1269990
Hiriyūr,India,Karnataka,1270032
Hirekerūr,India,Karnataka,1270036
Hāveri,India,Karnataka,1270171
Hassan,India,Karnataka,1270239
Harpanahalli,India,Karnataka,1270287
Harihar,India,Karnataka,1270349
Hāngal,India,Karnataka,1270435
Haliyal,India,Karnataka,1270482
Gurmatkāl,India,Karnataka,1270627
Gundlupēt,India,Karnataka,1270686
Guledagudda,India,Karnataka,1270750
Kalaburagi,India,Karnataka,1270752
Gubbi,India,Karnataka,1270824
Gokarna,India,Karnataka,1271064
Gokak,India,Karnataka,1271067
Gauribidanur,India,Karnataka,1271459
Gangolli,India,Karnataka,1271642
Gangāwati,India,Karnataka,1271662
Gajendragarh,India,Karnataka,1271789
Gadag,India,Karnataka,1271850
Doddaballapura,India,Karnataka,1272473
Devanhalli,India,Karnataka,1273123
Davangere,India,Karnataka,1273368
Dandeli,India,Karnataka,1273574
Coondapoor,India,Karnataka,1273834
Chitradurga,India,Karnataka,1274056
Chītāpur,India,Karnataka,1274077
Chintāmani,India,Karnataka,1274129
Chincholi,India,Karnataka,1274169
Chikodi,India,Karnataka,1274218
Chiknāyakanhalli,India,Karnataka,1274219
Chikmagalūr,India,Karnataka,1274220
Chik Ballāpur,India,Karnataka,1274243
Channarāyapatna,India,Karnataka,1274640
Channapatna,India,Karnataka,1274641
Channagiri,India,Karnataka,1274642
Chamrajnagar,India,Karnataka,1274821
Challakere,India,Karnataka,1274862
Byādgi,India,Karnataka,1275016
Birūr,India,Karnataka,1275488
Bilgi,India,Karnataka,1275619
Bijapur,India,Karnataka,1275701
Bīdar,India,Karnataka,1275738
Bhatkal,India,Karnataka,1276067
Bhālki,India,Karnataka,1276219
Bhadrāvati,India,Karnataka,1276321
Belūr,India,Karnataka,1276486
Bellary,India,Karnataka,1276509
Belagavi,India,Karnataka,1276533
Basavana Bāgevādi,India,Karnataka,1276782
Basavakalyān,India,Karnataka,1276783
Bantvāl,India,Karnataka,1277201
Bannūr,India,Karnataka,1277255
Bangarapet,India,Karnataka,1277320
Bengaluru,India,Karnataka,1277333
Byndoor,India,Karnataka,1277759
Bail-Hongal,India,Karnataka,1277765
Bāgepalli,India,Karnataka,1277909
Bagalkot,India,Karnataka,1277936
Bādāmi,India,Karnataka,1278017
Aurād,India,Karnataka,1278156
Athni,India,Karnataka,1278208
Arsikere,India,Karnataka,1278354
Arkalgūd,India,Karnataka,1278393
Annigeri,India,Karnataka,1278540
Anekal,India,Karnataka,1278609
Alnāvar,India,Karnataka,1278973
Aland,India,Karnataka,1279068
Afzalpur,India,Karnataka,1279306
Vadigenhalli,India,Karnataka,1462711
Murudeshwara,India,Karnataka,6941937
Gadag-Betageri,India,Karnataka,8740017
Sarıkamış,Turkey,Kars Province,740088
Kars,Turkey,Kars Province,743952
Kağızman,Turkey,Kars Province,744873
Tshikapa,Democratic Republic of the Congo,Kasai,204953
Mweka,Democratic Republic of the Congo,Kasai,207596
Luebo,Democratic Republic of the Congo,Kasai,210939
Ilebo,Democratic Republic of the Congo,Kasai,215976
Kananga,Democratic Republic of the Congo,Kasai-Central,214481
Demba,Democratic Republic of the Congo,Kasai-Central,217389
Mbuji-Mayi,Democratic Republic of the Congo,Kasaï-Oriental,209228
Kassala,Sudan,Kassala,372753
Thala,Tunisia,Kasserine Governorate,2464795
Kasserine,Tunisia,Kasserine Governorate,2473457
Tosya,Turkey,Kastamonu,738662
Taşköprü,Turkey,Kastamonu,739061
Kastamonu,Turkey,Kastamonu,743882
Usevia,Tanzania,Katavi,149132
Mpanda,Tanzania,Katavi,153176
Malumfashi,Nigeria,Katsina,2331005
Katsina,Nigeria,Katsina,2334802
Funtua,Nigeria,Katsina,2342490
Daura,Nigeria,Katsina,2345094
Kėdainiai,Lithuania,Kaunas,598272
Kaunas,Lithuania,Kaunas,598316
Jonava,Lithuania,Kaunas,598818
Aleksotas,Lithuania,Kaunas,601138
Dainava (Kaunas),Lithuania,Kaunas,6618486
Šilainiai,Lithuania,Kaunas,9610004
Eiguliai,Lithuania,Kaunas,9610008
Kavadarci,North Macedonia,Kavadarci,789541
Rundu,Namibia,Kavango East,3353383
Loikaw,Myanmar,Kayah,1313479
Kayanza,Burundi,Kayanza,430952
Sagalo,Mali,Kayes,2451935
Kayes,Mali,Kayes,2455518
Bafoulabé,Mali,Kayes,2460755
Hpa-An,Myanmar,Kayin,1302849
Myawadi,Myanmar,Kayin,1308052
Kyain Seikgyi Township,Myanmar,Kayin,11810635
Yahyalı,Turkey,Kayseri,297917
Talas,Turkey,Kayseri,299900
Kayseri,Turkey,Kayseri,308464
Hacılar,Turkey,Kayseri,313013
Develi,Turkey,Kayseri,316795
Zuru,Nigeria,Kebbi,2317548
Kamba,Nigeria,Kebbi,2335333
Jega,Nigeria,Kebbi,2336237
Birnin Kebbi,Nigeria,Kebbi,2347059
Argungu,Nigeria,Kebbi,2349431
Kebili,Tunisia,Kebili Governorate,2468018
Douz,Tunisia,Kebili Governorate,2471287
Kuah,Malaysia,Kedah,1222396
Kulim,Malaysia,Kedah,1734393
Bedong,Malaysia,Kedah,1734439
Gurun,Malaysia,Kedah,1735485
Sungai Petani,Malaysia,Kedah,1735498
Jitra,Malaysia,Kedah,1736302
Kuala Kedah,Malaysia,Kedah,1736305
Alor Setar,Malaysia,Kedah,1736309
Tajerouine,Tunisia,Kef Governorate,2464809
El Kef,Tunisia,Kef Governorate,2473634
Gua Musang,Malaysia,Kelantan,1734651
Tanah Merah,Malaysia,Kelantan,1735553
Pasir Mas,Malaysia,Kelantan,1736372
Kota Bharu,Malaysia,Kelantan,1736376
Peringat,Malaysia,Kelantan,1750582
Kampong Pangkal Kalong,Malaysia,Kelantan,1766249
Kampong Kadok,Malaysia,Kelantan,1768664
Paducah,United States,Kentucky,4048662
Ashland,United States,Kentucky,4282757
Bowling Green,United States,Kentucky,4285268
Burlington,United States,Kentucky,4286281
Covington,United States,Kentucky,4288809
Danville,United States,Kentucky,4289445
Elizabethtown,United States,Kentucky,4290988
Erlanger,United States,Kentucky,4291255
Fern Creek,United States,Kentucky,4291620
Florence,United States,Kentucky,4291945
Fort Thomas,United States,Kentucky,4292071
Frankfort,United States,Kentucky,4292188
Georgetown,United States,Kentucky,4292686
Henderson,United States,Kentucky,4294494
Highview,United States,Kentucky,4294799
Hopkinsville,United States,Kentucky,4295251
Independence,United States,Kentucky,4295776
Ironville,United States,Kentucky,4295940
Jeffersontown,United States,Kentucky,4296218
Lexington,United States,Kentucky,4297983
Lexington-Fayette,United States,Kentucky,4297999
Louisville,United States,Kentucky,4299276
Madisonville,United States,Kentucky,4299670
Meads,United States,Kentucky,4300488
Murray,United States,Kentucky,4302035
Newburg,United States,Kentucky,4302504
Newport,United States,Kentucky,4302529
Nicholasville,United States,Kentucky,4302561
Okolona,United States,Kentucky,4303012
Owensboro,United States,Kentucky,4303436
Pleasure Ridge Park,United States,Kentucky,4304713
Radcliff,United States,Kentucky,4305504
Richmond,United States,Kentucky,4305974
Saint Matthews,United States,Kentucky,4307238
Shelbyville,United States,Kentucky,4308122
Shively,United States,Kentucky,4308225
Valley Station,United States,Kentucky,4311963
Winchester,United States,Kentucky,4313697
Vettūr,India,Kerala,1253216
Vayalār,India,Kerala,1253340
